costo;descripcion;precio;nombre_comercial;Actividad econmica principal;word2num1;word2num2
73;pension primero nv marzo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.096007356;0.124669163
70.62;pension segundo febrero;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.0665642;0.124669163
73;pension segundo nv mayo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.099838896;0.124669163
73;pension tercero nv noviembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091902677;0.124669163
73;pension cuarto nv mayo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.099844313;0.124669163
73;pension cuarto nv junio;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.102804538;0.124669163
73;pension quinto nv marzo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091878215;0.124669163
70.62;pension sexto junio;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.077439312;0.124669163
70.62;pension septimo diciembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066147878;0.124669163
73;pension septimo nv marzo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091756144;0.124669163
82.21;pension inicial nv enero;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.096042719;0.124669163
70.62;pension primero febrero;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070358759;0.124669163
73;pension primero nv diciembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.095530583;0.124669163
70.62;pension segundo marzo;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.067081304;0.124669163
73;pension segundo nv octubre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.104315209;0.124669163
73;pension segundo nv junio;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.10279912;0.124669163
70.62;pension tercero diciembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066431051;0.124669163
70.62;pension tercero marzo;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066907824;0.124669163
70.62;pension quinto febrero;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066229618;0.124669163
73;pension quinto nv septiembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.104196763;0.124669163
73;pension septimo nv mayo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.099382243;0.124669163
82.21;pension inicial nv septiembre;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.108379685;0.124669163
82.21;pension inicial nv octubre;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.108163549;0.124669163
73;pension primero nv septiembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.108325903;0.124669163
73;pension primero nv abril;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.095298171;0.124669163
70.62;pension segundo abril;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066372119;0.124669163
73;pension tercero nv febrero;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091522213;0.124669163
73;pension cuarto nv febrero;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.09170111;0.124669163
73;pension quinto nv enero;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091859797;0.124669163
73;pension sexto nv febrero;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091467377;0.124669163
73;pension octavo nv septiembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.104083235;0.124669163
82.21;pension inicial noviembre;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070793005;0.124669163
82.21;pension inicial octubre;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.083032056;0.124669163
81.88;pension inicial diciembre;81.88;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070452871;0.124669163
81.88;pension inicial febrero;81.88;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.07041254;0.124669163
73;pension segundo nv noviembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.092076157;0.124669163
70.62;pension quinto octubre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.078849134;0.124669163
73;pension quinto nv abril;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.09116903;0.124669163
73;pension sexto nv octubre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.104086893;0.124669163
70.62;pension septimo octubre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.078727063;0.124669163
70.62;pension septimo marzo;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066624651;0.124669163
73;pension septimo nv octubre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.103858556;0.124669163
81.88;pension inicial junio;81.88;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.081515968;0.124669163
82.21;pension inicial nv junio;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.106647461;0.124669163
70.62;pension primero diciembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.07039909;0.124669163
73;pension segundo nv diciembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091736024;0.124669163
73;pension segundo nv enero;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.092194379;0.124669163
70.62;pension quinto noviembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066610082;0.124669163
70.62;pension sexto diciembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066376215;0.124669163
70.62;pension sexto abril;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066143803;0.124669163
82.21;pension inicial marzo;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070929644;0.124669163
81.88;pension inicial marzo;81.88;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070929644;0.124669163
70.62;pension primero enero;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070857444;0.124669163
70.62;pension segundo enero;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.067062886;0.124669163
70.62;pension segundo mayo;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.074707403;0.124669163
